date,SREN,UBS,NOVN
2022-10-05,69.286079,14.63215,66.745697
2022-10-06,67.571167,14.268045,66.03759
2022-10-07,66.490028,14.253482,66.03759
2022-10-10,65.613937,14.044728,66.063812
2022-10-11,64.849686,13.850539,66.221176
2022-10-12,65.147926,13.559256,66.229912
2022-10-13,65.669853,14.030164,66.046333
2022-10-14,67.589806,14.010745,66.430977
2022-10-17,68.298141,14.175806,67.305191
2022-10-18,68.48455,14.384559,67.567451
2022-10-19,69.342003,14.433106,67.121605
2022-10-20,69.640244,14.471944,66.614563
2022-10-21,69.975777,14.277755,66.929283
2022-10-24,70.92643,14.695262,68.170654
2022-10-25,71.187393,15.831268,68.048264
2022-10-26,71.355156,15.651644,68.747635
2022-10-27,71.988922,15.496292,68.738892
2022-10-28,70.292656,15.496292,70.006493
2022-10-31,69.342003,15.428326,70.723343
2022-11-01,69.640244,15.520565,70.557236
2022-11-02,69.267441,15.433181,70.941887
2022-11-03,69.136955,15.4526,70.994347
2022-11-04,70.199455,15.777866,70.959373
2022-11-07,69.416565,15.850688,70.461082
2022-11-08,69.770729,15.913797,70.679626
2022-11-09,71.206032,15.874961,71.518867
2022-11-10,73.051422,16.399271,71.947227
2022-11-11,74.710419,16.947855,69.071091
2022-11-14,75.176422,16.831341,68.887505
2022-11-15,74.393524,16.996403,69.63932
2022-11-16,73.498795,16.802214,69.097321
2022-11-17,73.890236,16.758522,69.132286
2022-11-18,75.045937,16.976984,71.256607
2022-11-21,74.673134,16.981838,72.497978
2022-11-22,74.729057,16.913872,73.013763
2022-11-23,76.071159,16.913872,71.728676
2022-11-24,76.872696,17.074078,71.781128
2022-11-25,76.965897,16.972128,72.585396
2022-11-28,78.084312,16.792503,72.803955
2022-11-29,78.774002,16.845907,72.821434
2022-11-30,78.4944,16.724539,73.127403
2022-12-01,79.202736,16.884743,73.520798
2022-12-02,78.904488,16.797358,73.555771
2022-12-05,79.650101,17.078934,75.006958
2022-12-06,79.221375,16.821632,74.552368
2022-12-07,79.146805,16.59346,74.989471
2022-12-08,80.563477,16.510929,74.569847
2022-12-09,81.122688,16.627443,74.727203
2022-12-12,80.227951,16.457529,74.246391
2022-12-13,80.582115,16.947855,74.132751
2022-12-14,80.54483,16.666283,75.295441
2022-12-15,78.923126,16.219646,73.975388
2022-12-16,78.438484,16.035166,73.643196
2022-12-19,78.774002,16.268192,73.555771
2022-12-20,78.792648,16.166245,73.066208
2022-12-21,81.085403,16.76823,74.054062
2022-12-22,80.973557,16.612879,73.905449
2022-12-23,81.51413,16.797358,74.062805
2022-12-27,81.737816,16.875034,74.115257
2022-12-28,81.383652,16.777941,73.852997
2022-12-29,82.110619,16.86047,74.097771
2022-12-30,80.600761,16.705118,73.074951
2023-01-03,83.490005,17.287687,75.03318
2023-01-04,87.311272,17.685774,74.963242
2023-01-05,87.087593,17.695484,74.220169
2023-01-06,88.448334,17.763451,74.980728
2023-01-09,87.646797,18.006186,74.57859
2023-01-10,86.54702,18.006186,73.013763
2023-01-11,85.27948,18.331451,73.345963
2023-01-12,86.901184,18.545061,73.538284
2023-01-13,86.341972,18.62759,73.870483
2023-01-16,86.360619,18.918875,75.374123
2023-01-17,85.820045,19.020824,74.840851
2023-01-18,87.050308,19.06937,74.080292
2023-01-19,86.658867,18.593607,73.879227
2023-01-20,87.982323,18.884893,73.852997
2023-01-23,87.777283,18.981985,74.683502
2023-01-24,89.268501,19.064516,74.360031
2023-01-25,89.138023,18.952858,74.569847
2023-01-26,89.492188,19.215014,72.279427
2023-01-27,88.560173,19.185884,72.192001
2023-01-30,89.268501,19.27327,72.707787
2023-01-31,89.063461,18.875183,72.087105
2023-02-01,87.963676,19.015968,70.128876
2023-02-02,88.29921,19.27327,68.415428
2023-02-03,87.945045,19.554844,69.534416
2023-02-06,87.031662,19.268415,69.193474
2023-02-07,87.516319,19.29269,69.3246
2023-02-08,88.131447,19.316963,70.216301
2023-02-09,88.616096,19.506298,70.015236
2023-02-10,87.739998,19.365509,69.735481
2023-02-13,88.616096,19.428621,70.303719
2023-02-14,88.765213,19.661648,70.303719
2023-02-15,89.231224,19.719904,70.548492
2023-02-16,89.622673,19.816999,69.37706
2023-02-17,89.604027,19.700487,70.190071
2023-02-20,90.852936,19.632519,69.814163
2023-02-21,89.93956,19.642229,70.574722
2023-02-22,90.480125,19.394638,70.915657
2023-02-23,90.368286,19.574263,70.382401
2023-02-24,90.498764,19.486877,70.539757
2023-02-27,90.908852,19.729614,70.268753
2023-02-28,91.523979,19.855839,69.307121
2023-03-01,90.871574,19.719904,68.712662
2023-03-02,91.412148,19.603392,69.770454
2023-03-03,91.412148,20.079155,69.368317
2023-03-06,92.250961,20.137411,69.254669
2023-03-07,91.561264,19.816999,69.149773
2023-03-08,92.157753,19.603392,68.712662
2023-03-09,91.598541,19.506298,68.974159
2023-03-10,89.100739,18.622736,68.161194
2023-03-13,85.242195,17.195446,68.252533
2023-03-14,85.48452,17.807142,68.380417
2023-03-15,81.085403,16.25363,68.937614
2023-03-16,84.049217,16.807068,70.32605
2023-03-17,81.980141,16.612879,69.640968
2023-03-20,83.210396,16.821632,70.097687
2023-03-21,86.472458,18.860617,70.234711
2023-03-22,86.323334,18.161537,69.604431
2023-03-23,85.055794,17.375072,69.239052
2023-03-24,84.515221,16.758522,69.75058
2023-03-27,85.596359,16.938147,75.130768
2023-03-28,85.96917,17.224575,76.245171
2023-03-29,86.807983,17.865398,75.815857
2023-03-30,87.013023,18.47224,76.135559
2023-03-31,87.460388,18.729542,76.510071
2023-04-03,86.733421,18.190666,77.076408
2023-04-04,87.572235,18.224649,77.460052
2023-04-05,86.733421,17.991623,78.757141
2023-04-06,87.81456,18.18581,79.560966
2023-04-11,88.075523,18.380001,79.332611
2023-04-12,88.094162,19.01,79.241264
2023-04-13,87.739998,19.065001,79.570107
2023-04-14,88.760002,19.465,79.880676
2023-04-17,85.32,18.725,80.474411
2023-04-18,88.480003,18.790001,80.136444
2023-04-19,89.080002,18.58,80.602295
2023-04-20,90.18,18.27,80.520088
2023-04-21,89.32,18.055,81.21431
2023-04-24,89.779999,18.195,81.762367
2023-04-25,89.099998,17.799999,85.059906
2023-04-26,88.919998,17.959999,83.726273
2023-04-27,88.879997,17.940001,83.443115
2023-04-28,89.720001,18.065001,83.242149
2023-05-02,88.559998,17.700001,84.237808
2023-05-03,89.559998,17.23,84.502701
2023-05-04,87.919998,16.74,84.667122
2023-05-05,88.779999,17.4,85.142113
2023-05-08,89.82,17.475,85.598839
2023-05-09,91.160004,17.450001,85.370476
2023-05-10,89.040001,17.27,83.98204
2023-05-11,89.459999,17.145,84.566643
2023-05-12,90.0,17.235001,84.520973
2023-05-15,89.779999,17.235001,84.484428
2023-05-16,89.279999,17.165001,84.493568
2023-05-17,89.400002,17.344999,83.178207
2023-05-19,91.720001,17.99,82.675812
2023-05-22,91.160004,18.08,83.342628
2023-05-23,92.120003,18.110001,82.949852
2023-05-24,90.260002,17.855,82.748886
2023-05-25,90.120003,17.67,80.88546
2023-05-26,91.339996,17.915001,81.21431
2023-05-30,91.959999,17.58,79.487892
2023-05-31,91.220001,17.24,79.615776
2023-06-01,92.779999,17.655001,80.437874
2023-06-02,93.199997,18.08,81.634491
2023-06-05,92.279999,18.129999,82.557068
2023-06-06,92.440002,18.264999,82.684944
2023-06-07,91.260002,18.27,81.753235
2023-06-08,89.699997,18.254999,82.547935
2023-06-09,88.139999,18.200001,82.547935
2023-06-12,88.379997,18.35,82.977257
2023-06-13,88.459999,18.43,82.200821
2023-06-14,88.459999,18.485001,81.899384
2023-06-15,88.260002,18.254999,82.547935
2023-06-16,88.32,18.25,82.904175
2023-06-19,87.919998,18.504999,82.986389
2023-06-20,87.639999,18.065001,82.812828
2023-06-21,87.239998,18.025,82.684944
2023-06-22,87.720001,17.834999,82.264763
2023-06-23,88.5,17.725,82.840233
2023-06-26,88.040001,17.559999,81.223442
2023-06-27,89.419998,17.57,81.040749
2023-06-28,89.080002,17.754999,80.867195
2023-06-29,89.720001,17.889999,81.41526
2023-06-30,90.040001,18.094999,82.209953
2023-07-03,90.459999,18.280001,80.876328
2023-07-04,89.480003,18.219999,81.132095
2023-07-05,88.480003,17.959999,81.259972
2023-07-06,86.800003,17.309999,80.081635
2023-07-07,88.839996,17.665001,77.560532
2023-07-10,88.599998,17.709999,78.355225
2023-07-11,89.160004,17.815001,78.163399
2023-07-12,90.480003,18.055,77.679276
2023-07-13,90.620003,18.094999,77.277359
2023-07-14,90.139999,18.08,77.606201
2023-07-17,90.379997,18.129999,77.569664
2023-07-18,91.0,18.315001,81.168633
2023-07-19,91.0,18.35,81.250839
2023-07-20,92.540001,18.379999,83.077728
2023-07-21,93.160004,18.48,83.370033
2023-07-24,93.279999,18.629999,82.94072
2023-07-25,93.540001,18.780001,82.913315
2023-07-26,93.440002,18.865,81.972466
2023-07-27,93.379997,19.110001,82.895042
2023-07-28,93.400002,19.25,82.438324
2023-07-31,90.900002,19.275,83.18734
2023-08-02,88.620003,18.799999,82.904175
2023-08-03,89.099998,18.940001,81.351318
2023-08-04,87.68,19.225,81.360451
2023-08-07,87.440002,19.370001,82.072945
2023-08-08,87.480003,19.129999,82.191689
2023-08-09,87.32,19.32,82.821968
2023-08-10,87.559998,19.405001,82.739754
2023-08-11,85.18,20.32,82.922447
2023-08-14,85.559998,20.700001,83.050323
2023-08-15,84.82,20.58,82.420052
2023-08-16,84.400002,20.799999,82.292168
2023-08-17,84.360001,20.790001,82.082077
2023-08-18,83.879997,20.65,81.652763
2023-08-21,83.660004,20.6,82.209953
2023-08-22,83.18,21.040001,82.794563
2023-08-23,84.199997,21.32,82.547935
2023-08-24,84.5,21.950001,82.082077
2023-08-25,84.599998,21.629999,81.954193
2023-08-28,85.239998,21.98,82.630142
2023-08-29,85.900002,22.07,82.730621
2023-08-30,85.739998,22.16,82.146011
2023-08-31,85.900002,23.5,81.579681
2023-09-01,85.639999,23.42,81.616226
2023-09-04,85.080002,23.709999,81.323914
2023-09-05,85.800003,23.67,80.191246
2023-09-06,86.800003,23.129999,79.661446
2023-09-07,88.480003,22.93,80.958542
2023-09-08,88.919998,22.76,80.492683
2023-09-11,90.339996,22.879999,80.666237
2023-09-12,91.040001,22.950001,81.908524
2023-09-13,91.739998,23.24,82.04554
2023-09-14,93.059998,23.459999,83.333496
2023-09-15,94.019997,23.4,84.274345
2023-09-18,93.68,23.41,84.055115
2023-09-19,94.68,23.4,84.036842
2023-09-20,95.0,23.74,84.849808
2023-09-21,95.019997,23.290001,84.685394
2023-09-22,94.139999,23.1,83.98204
2023-09-25,94.68,23.09,84.493568
2023-09-26,94.599998,23.01,84.941154
2023-09-27,93.940002,22.34,84.457031
2023-09-28,95.0,22.65,85.598839
2023-09-29,94.32,22.690001,85.74498
2023-10-02,92.919998,22.42,85.288261
2023-10-03,92.32,21.98,83.98204
2023-10-04,91.940002,21.93,84.425385
2023-10-05,92.199997,21.91,84.068802
2023-10-06,94.019997,22.299999,85.177116
2023-10-09,94.620003,22.139999,84.93618
2023-10-10,96.519997,22.459999,85.890305
2023-10-11,97.279999,22.690001,86.430008
2023-10-12,97.360001,22.59,85.822845
2023-10-13,98.019997,22.030001,84.348282
2023-10-16,97.32,22.450001,84.039879
2023-10-17,98.540001,22.559999,84.213356
2023-10-18,98.360001,22.02,83.991699
2023-10-19,98.379997,21.709999,81.678673
2023-10-20,95.900002,21.110001,81.72686
2023-10-23,95.519997,21.24,81.437729
2023-10-24,96.699997,21.200001,82.025627
2023-10-25,97.68,21.440001,82.709892
2023-10-26,97.580002,21.379999,82.006348
2023-10-27,97.379997,21.209999,80.724548
2023-10-30,98.18,21.26,81.563019
2023-10-31,99.120003,21.219999,81.47628
2023-11-01,100.949997,21.74,82.122002
2023-11-02,100.400002,21.940001,81.591934
2023-11-03,99.260002,21.98,80.319763
2023-11-06,99.099998,21.879999,81.187149
2023-11-07,98.839996,22.280001,81.129326
2023-11-08,98.699997,22.35,81.803955
2023-11-09,98.360001,22.290001,81.24498
2023-11-10,97.959999,22.02,80.820923
2023-11-13,99.199997,21.870001,81.553383
2023-11-14,99.099998,22.09,81.495552
2023-11-15,99.139999,22.59,80.589622
2023-11-16,99.059998,22.469999,80.21376
2023-11-17,99.980003,23.139999,81.052223
2023-11-20,100.949997,23.27,81.2257
2023-11-21,101.550003,22.959999,81.987076
2023-11-22,101.849998,23.129999,82.883369
2023-11-23,102.0,23.23,83.124313
2023-11-24,102.650002,23.309999,83.644745
2023-11-27,103.050003,23.01,82.854462
2023-11-28,103.300003,23.200001,82.189461
2023-11-29,102.75,23.9,81.765404
2023-11-30,103.25,24.629999,82.035263
2023-12-01,98.339996,24.82,82.285835
2023-12-04,99.599998,24.790001,83.018295
2023-12-05,99.059998,24.34,81.977432
2023-12-06,98.760002,24.719999,81.813599
2023-12-07,98.660004,24.57,81.196793
2023-12-08,98.879997,25.01,81.649757
2023-12-11,99.099998,25.040001,82.478592
